Name,Rating,Status,Opening/Closing Time,Venue Type,Url
Celtic Irish Pub Istanbul,"4,7 yıldızlı 6.338 Yorum",Açık,⋅ Kapanış saati: 04:00,Pub,https://www.google.com/maps/place/Celtic+Irish+Pub+Istanbul/data=!4m7!3m6!1s0x14cab90058fdeef7:0x9262081b91fe0cff!8m2!3d41.0292315!4d28.9749897!16s%2Fg%2F11j4s326_p!19sChIJ9-79WAC5yhQR_wz-kRsIYpI?authuser=0&hl=tr&rclk=1
The Pub Beyoglu,"4,5 yıldızlı 464 Yorum",Açık,⋅ Kapanış saati: 04:00,Pub,https://www.google.com/maps/place/The+Pub+Beyoglu/data=!4m7!3m6!1s0x14cab780d67e0359:0x901557a98e46b20f!8m2!3d41.0357534!4d28.9818355!16s%2Fg%2F11h7mfk7w9!19sChIJWQN-1oC3yhQRD7JGjqlXFZA?authuser=0&hl=tr&rclk=1
Yuri Gagarin Bar,"4,6 yıldızlı 1.522 Yorum",Açık,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Yuri+Gagarin+Bar/data=!4m7!3m6!1s0x14cab76112839771:0x7822a78aa538cef!8m2!3d41.0339586!4d28.9803349!16s%2Fg%2F1hhvz5hf4!19sChIJcZeDEmG3yhQR74xTqngqggc?authuser=0&hl=tr&rclk=1
The Wall Bar,"4,4 yıldızlı 382 Yorum",Açık,⋅ Açılış saati: 17:00,Bar,https://www.google.com/maps/place/The+Wall+Bar/data=!4m7!3m6!1s0x14cab766baec7b27:0x7026149df07b8e48!8m2!3d41.0360454!4d28.9811958!16s%2Fg%2F11xqd1gp7!19sChIJJ3vsuma3yhQRSI578J0UJnA?authuser=0&hl=tr&rclk=1
Dorock Heavy Metal Club,"4,6 yıldızlı 818 Yorum",Kapalı,⋅ Kapanış saati: 03:30,Bar,https://www.google.com/maps/place/Dorock+Heavy+Metal+Club/data=!4m7!3m6!1s0x14cab79fdb4b432d:0x93cab4c104f6d8aa!8m2!3d41.034963!4d28.977456!16s%2Fg%2F11p4rvbc69!19sChIJLUNL25-3yhQRqtj2BMG0ypM?authuser=0&hl=tr&rclk=1
Corner Irish Pub,"4,5 yıldızlı 3.712 Yorum",Açık,⋅ Kapanış saati: 02:30,Pub,https://www.google.com/maps/place/Corner+Irish+Pub/data=!4m7!3m6!1s0x14cab7607b849bbb:0x216ba8b0d292fcaa!8m2!3d41.0338453!4d28.9766694!16s%2Fg%2F11bysjwcv0!19sChIJu5uEe2C3yhQRqvyS0rCoayE?authuser=0&hl=tr&rclk=1
Bar Rasputın,"4,3 yıldızlı 348 Yorum",Açık,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Bar+Rasput%C4%B1n/data=!4m7!3m6!1s0x14cab766b9087ed7:0xed48cab1e98b46b5!8m2!3d41.0360811!4d28.981736!16s%2Fg%2F11cjhbsk29!19sChIJ134IuWa3yhQRtUaL6bHKSO0?authuser=0&hl=tr&rclk=1
Bubble Pub,"4,1 yıldızlı 655 Yorum",Açık,⋅ Kapanış saati: 03:00,Pub,https://www.google.com/maps/place/Bubble+Pub/data=!4m7!3m6!1s0x14cab760e81589e5:0x476390c1178f2de5!8m2!3d41.034898!4d28.9782439!16s%2Fg%2F1tcx96nm!19sChIJ5YkV6GC3yhQR5S2PF8GQY0c?authuser=0&hl=tr&rclk=1
Mezzo Bar,"4,2 yıldızlı 536 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Mezzo+Bar/data=!4m7!3m6!1s0x14cab7606310ea77:0x1be08e4b0506ccab!8m2!3d41.0340604!4d28.9767679!16s%2Fg%2F11bzsdcllx!19sChIJd-oQY2C3yhQRq8wGBUuO4Bs?authuser=0&hl=tr&rclk=1
Tower Pub,"4,7 yıldızlı 809 Yorum",Açık,⋅ Açılış saati: 22:00,Bar,https://www.google.com/maps/place/Tower+Pub/data=!4m7!3m6!1s0x14cab9e7a609172d:0xc8fb17a5a1389843!8m2!3d41.0254119!4d28.9740291!16s%2Fg%2F11gdz48f05!19sChIJLRcJpue5yhQRQ5g4oaUX-8g?authuser=0&hl=tr&rclk=1
CLUB IQ,"4,7 yıldızlı 5.655 Yorum",Kapalı,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/CLUB+IQ/data=!4m7!3m6!1s0x14cab76145e71bcf:0x6fbdfe9741933bfd!8m2!3d41.0349644!4d28.9809031!16s%2Fg%2F1tgfsb9q!19sChIJzxvnRWG3yhQR_TuTQZf-vW8?authuser=0&hl=tr&rclk=1
Asmali Pera Bar,"4,4 yıldızlı 503 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Asmali+Pera+Bar/data=!4m7!3m6!1s0x14cab9b28a1da62d:0x9db3970dd7dec877!8m2!3d41.029916!4d28.974728!16s%2Fg%2F11h22jm0l6!19sChIJLaYdirK5yhQRd8je1w2Xs50?authuser=0&hl=tr&rclk=1
Pendor,"4,4 yıldızlı 399 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Pendor/data=!4m7!3m6!1s0x14cab7612f2cf26b:0xca6cd1dd54eb699e!8m2!3d41.0351143!4d28.9788346!16s%2Fg%2F1tqbfc11!19sChIJa_IsL2G3yhQRnmnrVN3RbMo?authuser=0&hl=tr&rclk=1
Beer House,"3,6 yıldızlı 630 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Beer+House/data=!4m7!3m6!1s0x14cab760e8b4d7ef:0x42170a3637204623!8m2!3d41.0348129!4d28.9774627!16s%2Fg%2F1hc4581kl!19sChIJ79e06GC3yhQRI0YgNzYKF0I?authuser=0&hl=tr&rclk=1
Fakülte Teras,"3,8 yıldızlı 1.075 Yorum",Açık,⋅ Kapanış saati: 02:00,Yetişkinlere Yönelik Eğlence Kulübü,https://www.google.com/maps/place/Fak%C3%BClte+Teras/data=!4m7!3m6!1s0x14cab76418b094df:0xfb76b970291e3903!8m2!3d41.0364599!4d28.9825426!16s%2Fg%2F11ggr5sm_p!19sChIJ35SwGGS3yhQRAzkeKXC5dvs?authuser=0&hl=tr&rclk=1
Montreal Shot Bar,"3,9 yıldızlı 438 Yorum",Açık,⋅ Kapanış saati: 04:00,Kokteyl bar,https://www.google.com/maps/place/Montreal+Shot+Bar/data=!4m7!3m6!1s0x14cab9e08ea27d53:0xcccae4678a69e757!8m2!3d41.0297739!4d28.9748323!16s%2Fg%2F1hc6jmw8s!19sChIJU32ijuC5yhQRV-dpimfkysw?authuser=0&hl=tr&rclk=1
Mr. Bliss,"4,2 yıldızlı 397 Yorum",Açık,⋅ Kapanış saati: 03:00,Bar,https://www.google.com/maps/place/Mr.+Bliss/data=!4m7!3m6!1s0x14cab760ef47fe19:0x5a76df6681c1a410!8m2!3d41.0345827!4d28.9782769!16s%2Fg%2F11c1pkxs71!19sChIJGf5H72C3yhQREKTBgWbfdlo?authuser=0&hl=tr&rclk=1
Karaoke Bar Taksim,"4,1 yıldızlı 17 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Karaoke+Bar+Taksim/data=!4m7!3m6!1s0x14cab76450842383:0x516757082c39046e!8m2!3d41.0361687!4d28.984456!16s%2Fg%2F11c2pjxb0w!19sChIJgyOEUGS3yhQRbgQ5LAhXZ1E?authuser=0&hl=tr&rclk=1
Vosvos Cafe Bar,"4,3 yıldızlı 225 Yorum",Açık,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Vosvos+Cafe+Bar/data=!4m7!3m6!1s0x14cab761423cefaf:0x9c3969a254c0ec96!8m2!3d41.0339339!4d28.9800969!16s%2Fg%2F1tdf_yf5!19sChIJr-88QmG3yhQRluzAVKJpOZw?authuser=0&hl=tr&rclk=1
Lala Bar,"4,4 yıldızlı 220 Yorum",Kapalı,⋅ Kapanış saati: 01:30,Bar,https://www.google.com/maps/place/Lala+Bar/data=!4m7!3m6!1s0x14cab9e0edc50423:0xf04871ec16267c3a!8m2!3d41.029569!4d28.9743565!16s%2Fg%2F1tk69x7h!19sChIJIwTF7eC5yhQROnwmFuxxSPA?authuser=0&hl=tr&rclk=1
45lik Bar,"4,0 yıldızlı 1.018 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/45lik+Bar/data=!4m7!3m6!1s0x14cab7603f70de0b:0xfd93eb51679bb33e!8m2!3d41.0322064!4d28.9780802!16s%2Fg%2F1td2q96y!19sChIJC95wP2C3yhQRPrObZ1Hrk_0?authuser=0&hl=tr&rclk=1
Jack Bar Beyoğlu,"4,9 yıldızlı 91 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Jack+Bar+Beyo%C4%9Flu/data=!4m7!3m6!1s0x14cab75d07641bf9:0xd842591084d3ce04!8m2!3d41.0362281!4d28.9817009!16s%2Fg%2F11t6tsxw5w!19sChIJ-RtkB123yhQRBM7ThBBZQtg?authuser=0&hl=tr&rclk=1
Taksim Gold Bar,"4,5 yıldızlı 32 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Taksim+Gold+Bar/data=!4m7!3m6!1s0x14cab760c4a32e2d:0x12caf76405e675d6!8m2!3d41.0391425!4d28.9843777!16s%2Fg%2F11rhcctdhl!19sChIJLS6jxGC3yhQR1nXmBWT3yhI?authuser=0&hl=tr&rclk=1
Otto,"4,1 yıldızlı 848 Yorum",Açık,⋅ Açılış zamanı: Per 15:00,Bar,https://www.google.com/maps/place/Otto/data=!4m7!3m6!1s0x14cab763cab30fef:0x1a8a7c7273e98a4f!8m2!3d41.032139!4d28.9830649!16s%2Fg%2F1ptz2_6s7!19sChIJ7w-zymO3yhQRT4rpc3J8iho?authuser=0&hl=tr&rclk=1
Retro Pera Bar,"4,5 yıldızlı 1.139 Yorum",Kapalı,⋅ Kapanış saati: 01:00,Pub,https://www.google.com/maps/place/Retro+Pera+Bar/data=!4m7!3m6!1s0x14cab95c80cc53f1:0xfe763c3429fdd6a7!8m2!3d41.0296908!4d28.9749863!16s%2Fg%2F11fp8xlqnh!19sChIJ8VPMgFy5yhQRp9b9KTQ8dv4?authuser=0&hl=tr&rclk=1
Balkon Restaurant & Bar,"4,3 yıldızlı 1.409 Yorum",Açık,⋅ Açılış saati: 15:00,Bar,https://www.google.com/maps/place/Balkon+Restaurant+%26+Bar/data=!4m7!3m6!1s0x14cab9e0e52afde9:0xfc69a856a135cbaf!8m2!3d41.029808!4d28.9739337!16s%2Fg%2F1thvd7wn!19sChIJ6f0q5eC5yhQRr8s1oVaoafw?authuser=0&hl=tr&rclk=1
Dab Pub Pera,"4,6 yıldızlı 695 Yorum",Kapalı,⋅ Açılış saati: 15:00,Pub,https://www.google.com/maps/place/Dab+Pub+Pera/data=!4m7!3m6!1s0x14cab71c4188f0c3:0x5edd9dbf6e18fd9e!8m2!3d41.0333064!4d28.9753674!16s%2Fg%2F11r3lbjcql!19sChIJw_CIQRy3yhQRnv0Ybr-d3V4?authuser=0&hl=tr&rclk=1
